Singhalesisch,සිංහල (100),si,de:Singhalesische Sprache,si,si,sin,sin,
siSwati (Swasi),SiSwati (46),ss,de:Siswati,ss,ss,ssw,ssw,Index
Sizilianisch,Sicilianu (12.373),scn,de:Sizilianische Sprache,,,scn,scn,
Slowakisch,Slovenčina (1402),sk,de:Slowakische Sprache,sk,sk,slo/slk,slk,Index
Slowenisch,Slovenščina (7104),sl,de:Slowenische Sprache,sl,sl,slv,slv,Index
Somalisch,Soomaaliga (66),so,de:Somali (Sprache),so,so,som,som,
Songhai,n.n.,son,de:Songhai-Sprachen,,,son,-,
Sorbisch siehe Nieder- und  Obersorbisch,–,,de:Sorbische Sprachen,,,wendsb/hsb,dsbhsb,
Spanisch,Español (37.584),es,de:Spanische Sprache,es,es,spa,spa,Index
Sranan,,srn (in fr:),de:Sranan Tongo,,,(cpe),srn,
"Suaheli (Kisuaheli, Swahili)",Kiswahili (3329),sw,de:Swahili,sw,sw,swa,swa,Index
Sumerisch,,sux,de:Sumerische Sprache,,,sux,sux,Index
Sundanesisch,Basa Sunda (226),su,de:Sundanesische Sprache,su,su,sun,sun,
Süd-Ndebele (vgl. isiNdebele),,,de:Süd-Ndebele (Sprache),,nr,nbl,nbl,Index
Tadschikisch,Тоҷикӣ (66),tg,de:Tadschikische Sprache,tg,tg,tgk,tgk,
Tagalog,Tagalog - ᜆᜄᜎᜓ (503),tl,de:Tagalog,tl,tl,tgl,tgl,Index
Tahitianisch,(Reo Mā`ohi),ty,de:Tahitianische Sprache,,ty,tah,tah,
Taiwanisch/Min Nan,Bân-lâm-gú (5919),zh-min-nan,de:Taiwanische Sprache,,,(zho),nan,
Tamascheq,(ⵜⴰⵎⴰⵛⵇ) ‎,,de:Tamascheq,,,tmh,tmh,
Tamazight,,,de:Tamazight (tzm),,,(ber),tiatjotzm,
Tamil (Tamilisch),தமிழ் (102.543),ta,de:Tamil,ta,ta,tam,tam,
Taroko,,,en:Truku,,,(map),trv,
Tatarisch,Tatarça / Татарча (6594),tt,de:Tatarische Sprache,tt,tt,tat,tat,Index
Telugu,తెలుగు (34517),te,de:Telugu,te,te,tel,tel,Index
Tetum,(Tetun),tet,de:Tetum,,,tet,tet,
Thailändisch,ไทย (6427),th,de:Thailändische Sprache,th,th,tha,tha,Index
Tibetisch,- བོད་ཡིག -  †,bo,de:Tibetische Sprache,bo,bo,bod,bod,
Tigrinya,ትግርኛ (520),ti,de:Tigrinya,ti,ti,tir,tir,
Tok Pisin,Tok Pisin (69),tpi,de:Tok Pisin,,,tpi,tpi,Index
Toki Pona,- Toki Pona - †,tok,de:Toki Pona,,,(art),tok,Index
Tongaisch,- faka Tonga - †,to,de:Tongaische Sprache,to,to,ton,ton,
Tschechisch,Čeština (6091),cs,de:Tschechische Sprache,cs,cs,cze/ces,ces,Index
Tscherkessisch,(Адыгэ),,de:Tscherkessische Sprachen,ce,,"ady, kbd",adykbd,
Tschetschenisch,(Нохчийн),ce,de:Tschetschenische Sprache,,ce,che,che,
Tschuwaschisch,(Чӑваш),cv,de:Tschuwaschische Sprache,,cv,chv,chv,
Tshivenda,(Tshivenda),ve,de:Tshivenda,ve,ve,ven,ven,
Tswana (Setswana),Setswana (22),tn,de:Setswana,tn,tn,tsn,tsn,
Tuareg,(ⵜⴰⵎⴰⵛⵇ) ‎,,de:Tuareg,,,tmh,tmh,
Tumbuka,(chiTumbuka),tum,de:Tumbuka (Sprache),,,tum,tum,
Tupi,,,"en:Língua Geral (Paulista), de:Tupi",,,(tup),tpw,
Türkisch,Türkçe (252387),tr,de:Türkische Sprache,tr,tr,tur,tur,Index
Turkmenisch,تركمن / Туркмен (162),tk,de:Turkmenische Sprache,tk,tk,tuk,tuk,Index
Tuwinisch,(Тыва дыл),,de:Tuwinische Sprache,,,tyv,tyv,
Twi,- Twi - †,tw,de:Twi (Sprache),tw,tw,twi,twi,
Udmurtisch,(удмурт),udm,de:Udmurtische Sprache,,,udm,udm,
Uigurisch,Oyghurque (825),ug,de:Uigurische Sprache,,ug,uig,uig,
Ukrainisch,Українська (8296),uk,de:Ukrainische Sprache,uk,uk,ukr,ukr,Index
Ungarisch,Magyar (95.466),hu,de:Ungarische Sprache,hu,hu,hun,hun,Index
Urdu,اردو ‎(3527),ur,de:Urdu,ur,ur,urd,urd,Index
Urgermanisch,-,-,de:Urgermanische Sprache,-,-,(gem),-,Index
Urindoeuropäisch,-,-,de:Indogermanische Ursprache,-,-,(ine),-,Index
Usbekisch,O‘zbek (28),uz,de:Usbekische Sprache,uz,uz,uzb,uzb,
Venetisch (ausgestorben),,,de:Venetische Sprache,,,ine,xve,Index
Venezianisch (auch: Venetisch) (heute noch gesprochen),(Vèneto),vec,de:Venetische Sprache (Romanisch),,,roa,vec,Index
Vietnamesisch,Tiếng Việt (228.149),vi,de:Vietnamesische Sprache,vi,vi,vie,vie,Index
Vlax-(Walachisch)-Romani,(Romani),rmy,"de:Romani, en:Vlax Romani language",,,(rom),rmy,
Volapük,Volapük (23.173),vo,de:Volapük,,vo,vol,vol,Index
Võro,(Võro),fiu-vro,de:Võro,,,(fiu),-,
Walisisch (Kymrisch),Cymraeg (355),cy,de:Walisische Sprache,cy,cy,wel/cym,cym,Index
Wallonisch,Walon (1),wa,de:Wallonische Sprache,,wa,wln,wln,
Waray,(Samar-Leyte Visayan),war,de:Waray-Waray,,,war,war,
Weißrussisch (Belarussisch),Беларуская (162),be,de:Weißrussische Sprache,be,be,bel,bel,Index
Wepsisch,(vepsän),,de:Wepsische Sprache,,,(fiu),vep,
Wolof,Wollof (786),wo,de:Wolof,wo,wo,wol,wol,
Wotisch,(Vad’d’a tšeeli),,de:Wotische Sprache,,,(fiu),vot,
Xhosa (isiXhosa),- isiXhosa - †,xh,de:IsiXhosa,xh,xh,xho,xho,
